time,HLD_35-AIT-1035.PV,HLD_35-AIT-1034.PV,HLD_35-TIC-0004.,HLD_35-TIC-0014.,HLD_35-SI-1303.,HLD_35-SI-1203.,HLD_35-TI-0040.,HLD_35-TI-0020.,HLD_35-PI-0005.,HLD_35-FIT-1020.INUSE2,HLD_35-TIT-0015.,HLD_35-PI-0015.,HLD_30-TI-0023.,HLD_30-PIT-0009.,HLD_30-FIT-1002.,HLD_30-TI-0013.,HLD_30-PIT-1013.,HLD_30-PIC-1004.,HLD_30-TI-1002.,HLD_30-TIC-1003.,HLD_30-FIC-1000.,HLD_30-TIT-1027A.,HLD_30-PIT-1007B.,HLD_30-PDI-1016A.,HLD_30-PDI-1016B.,HLD_30-PDI-1017.,HLD_30-PDI-1009.,HLD_30-PDI-1015.,HLD_30-TI-1011.,HLD_30-TI-1010.,HLD_30-TI-1014.,HLD_30-TI-1009.,HLD_30-PDI-1007.,HLD_30-PDI-1021.,HLD_30-TI-1015.,HLD_30-TI-1016.,HLD_30-TI-1026.,HLD_30-TI-1017.,HLD_30-TIT-1023.,HLD_30-PI-1002A.
23.07.2021 02:00,2.13548851,2.247923613,12.5891676,20.83364105,10113.01563,17.21643448,20.77005768,12.95684052,-0.081780992,58.59284592,20.74048996,64.82888031,34.7324028,109.1093521,3925.953125,40.84787369,3.974022627,208.1965179,99.43600464,199.9651337,179.4432068,80.36561585,2.697360992,0.318194509,-0.012299452,0.143078983,0.179841712,0.045397822,60.12865067,160.3215485,80.00019074,184.7377777,-0.21813035,-0.016825069,80.82119751,61.53339386,43.23281479,61.53596115,50.92278671,245.5921173
23.07.2021 03:00,2.241763353,1.949941754,12.59354305,20.84190369,10115.46973,17.21643448,20.79809952,12.92447567,-0.081929639,58.09449387,20.72343063,64.8408432,34.76533508,109.0153046,3929.939209,40.76192474,3.97464776,196.9934998,101.2535858,199.9576874,179.6450348,80.35452271,2.750266075,0.317138016,-0.012296564,0.143826976,0.179034606,0.045485698,60.03009033,159.9429016,79.97460175,184.8200073,-0.222377568,-0.017756067,80.68467712,61.52280426,43.23689652,61.46849442,49.05395126,196.9970703
23.07.2021 04:00,2.347923756,2.195737839,12.59791756,20.84639549,10117.92383,17.21643448,20.82614136,12.89211083,-0.082078286,58.06568909,20.77621079,64.85279846,34.80183411,109.2593842,3916.063232,40.6786232,3.975272656,202.998703,100.0423508,199.9502411,179.7637024,80.15936279,2.700756073,0.325284749,-0.012301577,0.14314419,0.180008218,0.04550476,59.93153381,159.9838257,79.7779007,185.0415955,-0.221270457,-0.016669612,80.54816437,61.56074524,43.24097443,61.40102768,48.88322067,231.4288178
23.07.2021 05:00,2.404035568,1.936147332,12.63910294,20.90484238,10131.92481,18.5172329,20.85418129,12.85919857,-0.082226932,58.38482285,20.76125717,64.86475372,34.84033966,109.2127228,3927.962402,40.61208344,3.975897789,207.2484436,100.1702957,199.9428101,179.5873413,79.96878052,2.691737175,0.335980654,-0.012299841,0.143409714,0.182519421,0.045539204,59.83297348,159.8754425,79.5850296,184.7709045,-0.221511453,-0.018482773,80.36740112,61.62826157,43.18427658,61.33356094,49.90538788,214.7524262
23.07.2021 06:00,2.377703428,1.555072308,12.669837,20.84890175,10105.3125,20.9840622,20.85945511,12.8671236,-0.082375579,58.09590149,20.78123283,64.85636902,34.86017609,109.1525345,3921.381348,40.57749939,3.976522684,201.8744049,101.6450272,199.9353638,179.6785736,79.95625305,2.739730597,0.351167738,-0.012298518,0.14387022,0.181290567,0.045516238,59.73441696,159.7810211,79.63880158,184.7384491,-0.22018826,-0.018061215,80.28900909,61.55426025,43.16400909,61.26609421,47.79247665,145.8619232
23.07.2021 07:00,2.113343716,1.499845862,12.75067902,20.88464737,10107.80273,22.13541603,20.83504486,12.88660622,-0.082435034,57.95526505,20.84506798,64.84233856,34.83349991,109.1765595,3915.706055,40.46391678,3.977147579,202.126358,102.3140564,199.9279327,179.4550324,79.75312805,2.789266825,0.358536273,-0.012293261,0.14481023,0.181070194,0.045539051,59.63585663,159.8682251,79.90538788,184.7939911,-0.221461654,-0.016409226,80.21589661,61.54788971,43.14374161,61.19862747,47.5511055,124.5729599
23.07.2021 08:00,1.902795434,1.546582222,12.78237629,20.86662293,10110.86328,17.76438332,20.81063461,12.90608883,-0.082445703,57.64752579,20.74304581,64.82830811,34.80682373,109.074997,3928.931885,40.53866959,3.977772713,202.2537994,102.4211502,199.9252777,178.9389801,79.73097992,2.691610098,0.360093176,-0.012292974,0.143820107,0.18165867,0.045608845,59.54837418,160.0009003,79.68965149,184.6319275,-0.220836028,-0.017421687,80.14278412,61.57419968,43.23480225,61.13920593,51.44857788,124.605217
23.07.2021 09:00,1.952225685,1.49404037,12.81407356,20.85546494,10111.72559,17.21643448,20.78622437,12.92557144,-0.082456373,57.71902466,20.74025345,64.81427002,34.78015137,109.2672195,3929.855225,40.45108795,3.978397608,200.7223358,101.1846771,199.9338379,179.2700653,79.75336456,2.715547562,0.361339927,-0.012293002,0.144565418,0.181263983,0.045414038,59.51212311,158.4316864,78.87567902,184.6299591,-0.223517478,-0.020351861,80.06967163,61.49130249,43.18408203,61.09869003,50.53847885,173.7655029
23.07.2021 10:00,1.940311909,1.856437802,12.84577084,20.90531731,10110.59961,18.46609116,20.76181412,12.94505405,-0.082467042,57.65315628,20.77757263,64.80023956,34.75347519,109.2464218,3928.721436,40.41496277,3.979022741,202.016571,101.4931946,199.9423981,179.5858154,79.65507507,2.736613035,0.368149668,-0.01229303,0.143745959,0.182919726,0.045431085,59.47587204,160.2718048,79.751297,184.660202,-0.222167939,-0.018912993,79.99655914,61.28872299,43.11832809,61.05817795,47.90400696,144.9078369
23.07.2021 11:00,1.891204715,1.367384791,12.87746811,20.74537277,10109.47363,17.72494125,20.71361733,12.96453762,-0.082477711,58.02131271,20.61811447,64.78620911,34.72679901,109.3419571,3927.821045,40.45186234,3.979647636,202.6914368,101.0567246,199.9509583,179.3597412,79.55935669,2.722924233,0.380221546,-0.01228835,0.144084752,0.182384491,0.045448132,59.45102692,159.7809296,79.28314209,184.5986786,-0.221240655,-0.01665568,79.92344666,61.52322769,43.11513138,61.01766205,47.05375671,244.7415314
